Date,zone,centre,Price
12-05-93,4,MADURAI,NA
12-05-93,4,PONDICHERRY,NA
19-05-93,1,HISAR,NA
19-05-93,1,KARNAL,NA
19-05-93,1,SHIMLA,NA
19-05-93,1,MANDI,NA
19-05-93,1,SRINAGAR,NA
19-05-93,1,JAMMU,NA
19-05-93,1,AMRITSAR,NA
19-05-93,1,LUDHIANA,NA
19-05-93,1,LUCKNOW,NA
19-05-93,1,KANPUR,NA
19-05-93,1,CHANDIGARH,NA
19-05-93,1,DELHI,NA
19-05-93,2,AHMEDABAD,NA
19-05-93,2,RAJKOT,NA
19-05-93,2,PANAJI,NA
19-05-93,2,BHOPAL,NA
19-05-93,2,INDORE,NA
19-05-93,2,MUMBAI,NA
19-05-93,2,NAGPUR,NA
19-05-93,2,JAIPUR,NA
19-05-93,2,JODHPUR,NA
19-05-93,3,GUWAHATI,NA
19-05-93,3,PATNA,NA
19-05-93,3,SHILLONG,NA
19-05-93,3,AIZAWL,NA
19-05-93,3,BHUBANESHWAR,NA
19-05-93,3,CUTTACK,NA
19-05-93,3,KOLKATA,NA
19-05-93,3,AGARTALA,NA
19-05-93,4,HYDERABAD,NA
19-05-93,4,VIJAYAWADA,NA
19-05-93,4,BANGALORE,NA
19-05-93,4,THIRUVANANTHAPURAM,NA
19-05-93,4,ERNAKULAM,NA
19-05-93,4,CHENNAI,NA
19-05-93,4,MADURAI,NA
19-05-93,4,PONDICHERRY,NA
26-05-93,1,HISAR,NA
26-05-93,1,KARNAL,NA
26-05-93,1,SHIMLA,NA
26-05-93,1,MANDI,NA
26-05-93,1,SRINAGAR,NA
26-05-93,1,JAMMU,NA
26-05-93,1,AMRITSAR,NA
26-05-93,1,LUDHIANA,NA
26-05-93,1,LUCKNOW,NA
26-05-93,1,KANPUR,NA
26-05-93,1,CHANDIGARH,NA
26-05-93,1,DELHI,NA
26-05-93,2,AHMEDABAD,NA
26-05-93,2,RAJKOT,NA
26-05-93,2,PANAJI,NA
26-05-93,2,BHOPAL,NA
26-05-93,2,INDORE,NA
26-05-93,2,MUMBAI,NA
26-05-93,2,NAGPUR,NA
